author_id,author_name,author_page_url,birthplace,book_average_rating,book_fullurl,book_id,book_title,genre_1,genre_2,pages,year_publication,fiction_nonfiction,genre_number
103706,Laurie Lisle ,/author/show/103706.Laurie_Lisle,USA and Canada,4.1,https://www.goodreads.com/book/show/355904.Portrait_of_an_Artist,355904,       Portrait of an Artist: A Biography of Georgia O'Keeffe ,Biography & Autobiography,Biography,408,1980,Nonfiction,2
82111,Jill Bolte Taylor ,/author/show/82111.Jill_Bolte_Taylor,USA and Canada,3.87,https://www.goodreads.com/book/show/142292.My_Stroke_of_Insight,142292,       My Stroke of Insight: A Brain Scientist's Personal Journey ,Science,Science,184,2006,Nonfiction,7
7622,Patricia Highsmith ,/author/show/7622.Patricia_Highsmith,USA and Canada,3.68,https://www.goodreads.com/book/show/572046.Plotting_and_Writing_Suspense_Fiction,572046,       Plotting and Writing Suspense Fiction   ,Writing,Nonfiction,160,1966,Nonfiction,10
117227,Keri Smith ,/author/show/117227.Keri_Smith,USA and Canada,4.16,https://www.goodreads.com/book/show/428862.Wreck_This_Journal,428862,       Wreck This Journal ,Writing,Art,192,2007,Nonfiction,10
13544944,Nataša Nuit Pantović ,/author/show/13544944.Nata_a_Nuit_Pantovi_,Europe,4.76,https://www.goodreads.com/book/show/25609206-mindful-being,25609206,"       Mindful Being (Alchemy of Love Mindfulness Training, #4) ",Religion & Spirituality,Self Help,187,2014,Nonfiction,6
13323,Diana Pavlac Glyer ,/author/show/13323.Diana_Pavlac_Glyer,USA and Canada,4.22,https://www.goodreads.com/book/show/26168976-bandersnatch,26168976,"       Bandersnatch: C.S. Lewis, J.R.R. Tolkien and the Creative Collaboration of the Inklings ",Writing,Language,192,2016,Nonfiction,10
4114862,S.A.R.K. ,/author/show/4114862.S_A_R_K_,Unknown,3.98,https://www.goodreads.com/book/show/164862.Creative_Companion,164862,       Creative Companion: How to Free Your Creative Spirit ,Self Help,Self Help,80,1991,Nonfiction,8
4519247,Livia Blackburne ,/author/show/4519247.Livia_Blackburne,Unknown,4.11,https://www.goodreads.com/book/show/9948860-from-words-to-brain,9948860,       From Words to Brain ,Writing,Language,100,2010,Nonfiction,10
40574,Carolyn See ,/author/show/40574.Carolyn_See,USA and Canada,3.97,https://www.goodreads.com/book/show/71828.Making_a_Literary_Life,71828,       Making a Literary Life: Advice for Writers and Other Dreamers ,Writing,Nonfiction,288,2002,Nonfiction,10
5209,Annie Dillard ,/author/show/5209.Annie_Dillard,USA and Canada,4.02,https://www.goodreads.com/book/show/12530.The_Writing_Life,12530,       The Writing Life ,Writing,Nonfiction,113,1989,Nonfiction,10
4602925,Lorii Myers ,/author/show/4602925.Lorii_Myers,USA and Canada,4.08,https://www.goodreads.com/book/show/12964250-targeting-success-develop-the-right-business-attitude-to-be-successful,12964250,"       Targeting Success, Develop the Right Business Attitude to be Successful in the Workplace ",Self Help,Self Help,244,2011,Nonfiction,8
7062017,Ed Gaydos ,/author/show/7062017.Ed_Gaydos,USA and Canada,4.23,https://www.goodreads.com/book/show/17843498-seven-in-a-jeep,17843498,       Seven in a Jeep ,Biography & Autobiography,Biography,332,2013,Nonfiction,2
137534,Kerry Madden ,/author/show/137534.Kerry_Madden,USA and Canada,4.0,https://www.goodreads.com/book/show/5980771-harper-lee,5980771,       Harper Lee ,Biography & Autobiography,Nonfiction,224,2009,Nonfiction,2
127669,Ghada Karmi ,/author/show/127669.Ghada_Karmi,Unknown,3.78,https://www.goodreads.com/book/show/999412.Married_to_Another_Man,999412,       Married to Another Man: Israel's Dilemma in Palestine ,History,Politics,315,2007,Nonfiction,5
46245,Ayaan Hirsi Ali ,/author/show/46245.Ayaan_Hirsi_Ali,Africa,3.92,https://www.goodreads.com/book/show/6663818-nomad,6663818,       Nomad: From Islam to America: A Personal Journey Through the Clash of Civilizations ,Biography & Autobiography,Biography,277,2010,Nonfiction,2
223411,Golda Meir ,/author/show/223411.Golda_Meir,Europe,3.94,https://www.goodreads.com/book/show/999422.My_Life,999422,       My Life ,History,Nonfiction,480,1975,Nonfiction,5
122999,Amira Hass ,/author/show/122999.Amira_Hass,Asia,4.12,https://www.goodreads.com/book/show/210062.Drinking_the_Sea_at_Gaza,210062,       Drinking the Sea at Gaza: Days and Nights in a Land Under Siege ,History,History,400,1999,Nonfiction,5
95897,Suad Amiry ,/author/show/95897.Suad_Amiry,Asia,3.81,https://www.goodreads.com/book/show/455854.Sharon_and_My_Mother_in_Law,455854,       Sharon and My Mother-in-Law: Ramallah Diaries ,Biography & Autobiography,Autobiography,224,2003,Nonfiction,2
27420,Livia E. Bitton-Jackson ,/author/show/27420.Livia_E_Bitton_Jackson,Europe,4.15,https://www.goodreads.com/book/show/48834.I_Have_Lived_a_Thousand_Years,48834,       I Have Lived a Thousand Years ,History,Nonfiction,224,1997,Nonfiction,5
13893,Tristan Taormino ,/author/show/13893.Tristan_Taormino,Asia,4.05,https://www.goodreads.com/book/show/13592074-the-feminist-porn-book,13592074,       The Feminist Porn Book: The Politics of Producing Pleasure ,Feminism,Nonfiction,432,2012,Nonfiction,3
4719213,Laurie Penny ,/author/show/4719213.Laurie_Penny,Europe,4.04,https://www.goodreads.com/book/show/20613624-unspeakable-things,20613624,"       Unspeakable Things: Sex, Lies and Revolution ",Feminism,Feminism,267,2014,Nonfiction,3
3960446,Irin Carmon ,/author/show/3960446.Irin_Carmon,Asia,4.23,https://www.goodreads.com/book/show/25422234-notorious-rbg,25422234,       Notorious RBG: The Life and Times of Ruth Bader Ginsburg ,Biography & Autobiography,Biography,240,2015,Nonfiction,2
222118,Jessica Valenti ,/author/show/222118.Jessica_Valenti,USA and Canada,4.07,https://www.goodreads.com/book/show/4914761-the-purity-myth,4914761,       The Purity Myth: How America's Obsession with Virginity is Hurting Young Women ,Feminism,Nonfiction,263,2009,Nonfiction,3
33478,Jonathan Eig ,/author/show/33478.Jonathan_Eig,USA and Canada,3.99,https://www.goodreads.com/book/show/25622271-the-birth-of-the-pill,25622271,       The Birth of the Pill ,History,History,388,2014,Nonfiction,5
5213272,Laura Barcella ,/author/show/5213272.Laura_Barcella,USA and Canada,3.99,https://www.goodreads.com/book/show/23845789-fight-like-a-girl,23845789,       Fight Like a Girl: 50 Feminists Who Changed the World ,Feminism,Nonfiction,224,2016,Nonfiction,3
6953230,Linda Rodríguez McRobbie ,/author/show/6953230.Linda_Rodr_guez_McRobbie,USA and Canada,3.62,https://www.goodreads.com/book/show/17412780-princesses-behaving-badly,17412780,       Princesses Behaving Badly: Real Stories from History—without the Fairy-Tale Endings ,History,History,303,2013,Nonfiction,5
70695,Lee Maracle ,/author/show/70695.Lee_Maracle,USA and Canada,4.32,https://www.goodreads.com/book/show/505644.I_Am_Woman,505644,       I Am Woman: A Native Perspective on Sociology and Feminism ,Feminism,Nonfiction,146,1988,Nonfiction,3
57108,Gloria Steinem ,/author/show/57108.Gloria_Steinem,USA and Canada,4.08,https://www.goodreads.com/book/show/15451058-my-life-on-the-road,15451058,       My Life on the Road ,Feminism,Feminism,276,2015,Nonfiction,3
21798,Betty Friedan ,/author/show/21798.Betty_Friedan,USA and Canada,3.87,https://www.goodreads.com/book/show/17573685-the-feminine-mystique,17573685,       The Feminine Mystique ,Feminism,Nonfiction,364,1963,Nonfiction,3
