author_id,author_name,author_page_url,birthplace,book_average_rating,book_fullurl,book_id,book_title,genre_1,genre_2,pages,year_publication,fiction_nonfiction,period_publication,genre_number
29,Kate Horsley ,/author/show/29.Kate_Horsley,USA and Canada,3.87,https://www.goodreads.com/book/show/20059.Confessions_of_a_Pagan_Nun,20059,       Confessions of a Pagan Nun ,Historical,Fiction,191,2001,Fiction,21st century,7
2940336,Lydia Storm ,/author/show/2940336.Lydia_Storm,USA and Canada,3.81,https://www.goodreads.com/book/show/12313023-cleopatra-s-secret,12313023,       Cleopatra's Secret: Keepers of the Light ,Historical,Northern Africa,315,2011,Fiction,21st century,7
90780,Nicola Griffith ,/author/show/90780.Nicola_Griffith,Europe,3.78,https://www.goodreads.com/book/show/17332243-hild,17332243,       Hild ,Historical,Fiction,546,2013,Fiction,21st century,7
9863205,Charlotte E. Hart ,/author/show/9863205.Charlotte_E_Hart,Europe,4.27,https://www.goodreads.com/book/show/25348908-feeling-white,25348908,       Feeling White ,Erotica,Dark,577,2015,Fiction,21st century,5
4318269,Nicole Edwards ,/author/show/4318269.Nicole_Edwards,USA and Canada,4.34,https://www.goodreads.com/book/show/17306889-infatuation,17306889,       Infatuation ,Erotica,Erotica,313,2013,Fiction,21st century,5
5823355,Sara Fawkes ,/author/show/5823355.Sara_Fawkes,Europe,3.73,https://www.goodreads.com/book/show/13616660-anything-he-wants-1,13616660,       Anything He Wants 1: The Meeting ,Erotica,Romance,25,2012,Fiction,21st century,5
7505,Alice McDermott ,/author/show/7505.Alice_McDermott,USA and Canada,3.76,https://www.goodreads.com/book/show/17332207-someone,17332207,       Someone ,Historical,Historical,232,2013,Fiction,21st century,7
2060858,Kristen Painter ,/author/show/2060858.Kristen_Painter,Unknown,3.65,https://www.goodreads.com/book/show/10853729-dark-kiss-of-the-reaper,10853729,       Dark Kiss of the Reaper ,Romance,Paranormal,302,2011,Fiction,21st century,11
4673950,Heather Tregaskes ,/author/show/4673950.Heather_Tregaskes,Unknown,3.97,https://www.goodreads.com/book/show/10593908-akasha,10593908,       Akasha ,Fantasy,Young Adult,361,2011,Fiction,21st century,6
3395431,Katie Salidas ,/author/show/3395431.Katie_Salidas,USA and Canada,3.69,https://www.goodreads.com/book/show/8449412-house-of-immortal-pleasures,8449412,       House of Immortal Pleasures ,Erotica,Fantasy,54,2010,Fiction,21st century,5
3464081,Kait Nolan ,/author/show/3464081.Kait_Nolan,USA and Canada,3.68,https://www.goodreads.com/book/show/7986984-forsaken-by-shadow,7986984,       Forsaken By Shadow ,Fantasy,Romance,165,2010,Fiction,21st century,6
2980674,Jess C. Scott ,/author/show/2980674.Jess_C_Scott,Unknown,3.51,https://www.goodreads.com/book/show/12448740-the-other-side-of-life,12448740,       The Other Side of Life ,Fantasy,Fantasy,234,2011,Fiction,21st century,6
4774430,Cyndi Tefft ,/author/show/4774430.Cyndi_Tefft,USA and Canada,3.74,https://www.goodreads.com/book/show/11152377-between,11152377,       Between ,Young Adult,Fantasy,244,2011,Fiction,21st century,14
1103981,Sidney Fox ,/author/show/1103981.Sidney_Fox,USA and Canada,3.83,https://www.goodreads.com/book/show/3402344-haunted-lily,3402344,       Haunted Lily: The Nightmare Ball ,Horror,Fantasy,324,2008,Fiction,21st century,8
2737333,Zoe Winters ,/author/show/2737333.Zoe_Winters,Unknown,3.87,https://www.goodreads.com/book/show/8309660-mated,8309660,       Mated ,Romance,Fantasy,108,2010,Fiction,21st century,11
