author_average_rating,author_gender,author_genres,author_id,author_name,author_page_url,author_rating_count,author_review_count,birthplace,book_average_rating,book_fullurl,book_id,book_title,genre_1,genre_2,num_ratings,num_reviews,pages,publish_date,score
4.19,female,"romance,",7319216,Kandi Steiner ,/author/show/7319216.Kandi_Steiner,37535,7023,USA and Canada,4.02,https://www.goodreads.com/book/show/41224958-the-wrong-game,41224958,       The Wrong Game ,Romance,Contemporary Romance,2270,431,393,2018,5166
4.06,female,"romance,",16904020,Tara  Leigh ,/author/show/16904020.Tara_Leigh,2835,1169,USA and Canada,4.04,https://www.goodreads.com/book/show/40697432-legacy-of-lies,40697432,       Legacy of Lies ,Romance,Romance,683,206,268,2018,5518
4.35,female,"romance,memoir,",14787783,B.B. Easton ,/author/show/14787783.B_B_Easton,9019,2243,Asia,4.65,https://www.goodreads.com/book/show/34402826-suit,34402826,       Suit ,Romance,Contemporary,922,315,245,2018,6041
4.15,female,"paranormal,",7122826,Patricia D. Eddy ,/author/show/7122826.Patricia_D_Eddy,4060,1210,Unknown,4.52,https://www.goodreads.com/book/show/42202638-on-his-six,42202638,       On His Six ,Romance,Contemporary,211,114,322,2018,6031
4.26,female,"romance,",15014061,L.M. Halloran ,/author/show/15014061.L_M_Halloran,2955,609,Unknown,4.45,https://www.goodreads.com/book/show/36585479-the-fall-before-flight,36585479,       The Fall Before Flight ,Romance,Romance,729,156,274,2018,7182
4.03,female,"contemporary,",6938229,Kimberly Kincaid ,/author/show/6938229.Kimberly_Kincaid,12253,3226,USA and Canada,4.58,https://www.goodreads.com/book/show/40674540-crossing-hope,40674540,       Crossing Hope ,Contemporary,Romance,153,81,321,October 12th 2018,9741
4.0,female,"romance,",7798960,Sara Ney ,/author/show/7798960.Sara_Ney,70581,9340,USA and Canada,4.09,https://www.goodreads.com/book/show/40309980-love-sincerely-yours,40309980,"       Love, Sincerely, Yours ",Romance,Romance,3704,681,273,2018,9842
4.2,female,"romance,",8184875,Meghan March ,/author/show/8184875.Meghan_March,220370,22747,USA and Canada,4.23,https://www.goodreads.com/book/show/40656560-reveling-in-sin,40656560,       Reveling in Sin ,Romance,Romance,2710,536,250,2018,14253
3.99,female,"ebooks,",7059622,Ilsa Madden-Mills ,/author/show/7059622.Ilsa_Madden_Mills,96135,11295,USA and Canada,4.1,https://www.goodreads.com/book/show/39299741-i-bet-you,39299741,       I Bet You ,Romance,Sports and Games,5182,734,298,October 24th 2018,27291
4.12,female,"romance,literature-fiction,",107767,Robyn Carr ,/author/show/107767.Robyn_Carr,363093,23271,USA and Canada,4.12,https://www.goodreads.com/book/show/184850.Virgin_River,184850,       Virgin River ,Romance,Romance,22002,1694,386,2007,2814
3.96,female,"romance,",104514,Sarah McCarty ,/author/show/104514.Sarah_McCarty,33544,2481,Unknown,4.05,https://www.goodreads.com/book/show/2798263-sam-s-creed,2798263,       Sam's Creed ,Romance,Romance,2773,170,423,2008,2385
